186.2;3.502;0.8
242.0;7.13;0.7
258.8;0.525;1.0
274.2;0.472;1.2
295.2;18.09;0.7
351.9;35.04;0.7
388.0;0.690;1.5
455.0;0.287;2.0
480.5;0.336;1.4
487.1;0.431;1.4
580.3;0.369;1.5
609.3;44.83;0.7
665.4;1.506;0.8
768.4;4.78;0.8
785.8;1.097;1.1
806.2;1.250;1.0
934.1;3.041;0.8
1120.3;14.66;0.7
1155.2;1.611;1.2
1238.1;5.75;0.8
1281.0;1.411;1.1
1377.7;3.895;0.8
1385.3;0.782;1.2
1401.5;1.311;0.9
1408.0;2.346;0.8
1509.2;2.065;1.5
1661.3;1.063;1.6
1729.6;2.791;0.8
1764.5;15.03;0.7
1847.4;1.994;1.0
2118.5;1.137;1.0
2204.1;4.82;0.8
2293.36;0.298;2.6
2447.7;1.525;0.9
